timestamp_ms,tilt_setting_deg,lux,temp_c,voltage_v,current_ma,power_w,power_corrected_w,temp_correction_pct,tilt_measured_deg,cumulative_wh,system_time
0,13,35246.66,39.88,0.68,51.8,0.036,0.0339,-0.0595,9.16,0.0003,2026-06-22 09:48:33
30000,13,35198.33,39.94,0.68,51.9,0.036,0.0338,-0.0598,9.24,0.0006,2026-06-22 09:48:35
60000,13,35120.0,40.0,0.68,51.5,0.036,0.0338,-0.06,8.94,0.0009,2026-06-22 09:48:36
90000,13,35105.83,40.06,0.68,51.6,0.036,0.0338,-0.0602,8.97,0.0012,2026-06-22 09:48:38
120000,13,35049.16,40.06,0.68,51.4,0.036,0.0338,-0.0602,9.22,0.0015,2026-06-22 09:48:39
150000,13,34913.33,40.19,0.68,51.3,0.036,0.0338,-0.0608,8.78,0.0018,2026-06-22 09:48:41
180000,13,34857.5,40.25,0.67,51.3,0.036,0.0338,-0.061,9.3,0.0021,2026-06-22 09:48:42
210000,13,34935.0,40.31,0.67,51.5,0.036,0.0338,-0.0612,9.21,0.0024,2026-06-22 09:48:44
240000,13,34914.16,40.31,0.68,51.0,0.036,0.0338,-0.0612,8.73,0.0027,2026-06-22 09:48:46
270000,13,34867.5,40.38,0.68,51.3,0.036,0.0338,-0.0615,8.85,0.003,2026-06-22 09:48:47
300000,13,34860.0,40.44,0.68,51.3,0.036,0.0338,-0.0618,9.33,0.0033,2026-06-22 09:48:49
330000,13,34857.5,40.5,0.68,51.1,0.036,0.0338,-0.062,8.96,0.0036,2026-06-22 09:48:50
360000,13,34902.5,40.56,0.68,51.2,0.036,0.0338,-0.0622,8.99,0.0039,2026-06-22 09:48:52
390000,13,34953.33,40.63,0.68,51.2,0.036,0.0337,-0.0625,9.12,0.0042,2026-06-22 09:48:53
420000,13,35125.0,40.69,0.28,22.0,0.006,0.0056,-0.0628,6.87,0.00425,2026-06-22 09:48:55
450000,13,35147.5,40.75,0.24,18.8,0.004,0.0037,-0.063,7.21,0.004283,2026-06-22 09:48:56
480000,13,35268.33,40.75,0.22,17.8,0.004,0.0037,-0.063,6.3,0.004317,2026-06-22 09:48:58
