timestamp_ms,tilt_setting_deg,lux,temp_c,voltage_v,current_ma,power_w,power_corrected_w,temp_correction_pct,tilt_measured_deg,cumulative_wh,system_time
0,13,18243.33,32.13,0.36,25.4,0.01,0.0097,-0.0285,9.49,8.3e-05,2026-06-22 11:46:41
30000,13,18021.67,32.19,0.37,25.0,0.01,0.0097,-0.0288,9.43,0.000167,2026-06-22 11:46:42
60000,13,17234.17,32.13,0.34,23.9,0.006,0.0058,-0.0285,9.48,0.000217,2026-06-22 11:46:44
90000,13,17734.17,32.19,0.36,25.2,0.01,0.0097,-0.0288,9.32,0.0003,2026-06-22 11:46:45
120000,13,16853.33,32.19,0.34,23.5,0.006,0.0058,-0.0288,9.43,0.00035,2026-06-22 11:46:47
150000,13,16600.83,32.25,0.37,25.3,0.01,0.0097,-0.029,9.46,0.000433,2026-06-22 11:46:48
180000,13,12690.0,32.25,0.24,17.1,0.004,0.0039,-0.029,9.46,0.000467,2026-06-22 11:46:50
210000,13,10887.5,32.25,0.17,12.5,0.004,0.0039,-0.029,9.54,0.0005,2026-06-22 11:46:51
240000,13,10263.33,32.25,0.14,10.4,0.0,0.0,-0.029,9.14,0.0005,2026-06-22 11:46:53
270000,13,10300.83,32.31,0.14,10.0,0.0,0.0,-0.0292,9.54,0.0005,2026-06-22 11:46:54
300000,13,10486.67,32.31,0.14,10.2,0.0,0.0,-0.0292,9.79,0.0005,2026-06-22 11:46:56
330000,13,10220.83,32.31,0.13,9.8,0.0,0.0,-0.0292,9.65,0.0005,2026-06-22 11:46:57
360000,13,10323.33,32.38,0.12,9.3,0.0,0.0,-0.0295,9.19,0.0005,2026-06-22 11:46:59
390000,13,10553.33,32.38,0.12,9.8,0.0,0.0,-0.0295,9.2,0.0005,2026-06-22 11:47:00
420000,13,10700.83,32.44,0.13,9.8,0.0,0.0,-0.0298,9.27,0.0005,2026-06-22 11:47:02
450000,13,11006.67,32.44,0.13,10.1,0.0,0.0,-0.0298,9.31,0.0005,2026-06-22 11:47:03
480000,13,7176.67,32.44,0.13,9.7,0.0,0.0,-0.0298,21.33,0.0005,2026-06-22 11:47:05
510000,13,8915.0,32.5,0.13,10.2,0.0,0.0,-0.03,11.17,0.0005,2026-06-22 11:47:06
540000,13,8561.67,32.5,0.13,9.1,0.0,0.0,-0.03,10.15,0.0005,2026-06-22 11:47:08
570000,13,3198.33,32.5,0.09,7.9,0.0,0.0,-0.03,10.94,0.0005,2026-06-22 11:47:09
600000,13,2635.0,32.5,0.08,7.3,0.0,0.0,-0.03,0.98,0.0005,2026-06-22 11:47:11
